1047973,Aldous Huxley
1360469,Mandy Stanley
1374869,Fiona Pragoff
1714600,Robert Lopshire
2005018,Richard Bruce Wright
2005395,Frances Itani
2179687,David Cohen
2215810,Victoria Holt
2219476,Alistair MacLean
2229544,Ian St.James
2243776,Marilyn Bowering
2244098,Timothy Findley
2245663,Diane Schoemperlen
2257580,Rhidian Brook
2258579,Christopher Wallace
2261529,Dermot Bolger
2550563,J. C. Suares
2712172,C. K. Stead
2713276,Vitaliano Brancati
2740230,Nick Page
4121120,Alwyn Crawshaw
6135986,Simone De Beauvoir
6143199,Desmond Bagley
6276199,Adrian Plass
6278841,Georges Bernanos
6280803,Mary Craig
6329527,J. P Kenyon
000636988X,LIBBY PURVES
6372570,Marcus Sieff
6374093,John Harvey Jones
6385370,Dakota Hamilton
6386369,Ruth Teichroeb
6392466,Rob Payne
6476333,Robert Ludlum
6479383,Karleen Bradford
6479650,Karleen Bradford
6480608,Timothy Findley
6480764,Andrew Pyper
6485936,Arthur Slade
6498000,Michael Dobbs
6498035,Colin Bateman
000649840X,Frank Mccourt
6510019,Daniel Easterman
6511767,Philippa Gregory
6513409,Isabel Wolff
6514588,Martina Devlin
6547834,Peter Hoeg
6548180,Alice Thomas Ellis
000654861X,Nien Cheng
6550576,Paullina Simons
6550789,Geoff Ryman
6551076,Peter Hedges
6642004,Libby Butterworth
6643094,Jan Mark
6716067,Robert Leeson
6727492,Will Gatti
6742939,Alan Garner
6749151,Cynthia Blair
6751032,Michael Morpurgo
6751504,Jean Ure
000692347X,Carolyn Keene
7100221,Matthew Thomas
7103999,Fiona Horne
7106130,Richard Littlejohn
7106572,Sue Welfare
7108648,Steve Skidmore
7110928,Pamela Stephenson
7119860,James Runcie
7134495,Lindsay Clarke
7137508,Richard Holmes
7154615,Carol Shields
7155093,Spike Milligan
20083513,Raymond Keene
20154402,Margaret Shertzer
20178506,Kirill Bulychev
20191200,Robert Coover
20198507,Mikhail Emtsev
20198817,F. Scott Fitzgerald
20198906,Joseph F. Girzone
20199082,Joseph F. Girzone
20199090,Joseph Girzone
20199309,Fitzgerald
20199600,F. Scott Fitzgerald
20199856,F. Scott Fitzgerald
20223722,Richard Llewellyn
20236107,Cathie Pelletier
002026478X,Edith Wharton
20292651,Bj̦rn  Kjellstr̦m
002031275X,Day
20360754,Annie Proulx
20404808,Virginia Cary Hudson
20412401,Louisa May Alcott
20418809,Carol Ryrie Brink
20427859,Susan Cooper
20433115,Hall
20435207,Virginia Hamilton
20436904,Joseph Hone
20437501,Pat Hutchins
20442009,C. S. Lewis
20442106,C. S. Lewis
20442203,C. S. Lewis
20442300,C. S. Lewis
20442408,C. S Lewis
20442602,C. S. Lewis
20446500,Robert C. O'Brien
20447019,John Miller
20474105,Arthur Plotnik
20518609,Ernest Hemingway
20518706,Ernest Hemingway
20519001,Ernest Hemingway
20519109,Ernest Hemingway
20519303,ERNEST HEMINGWAY
20519605,Ernest Hemingway
20532105,Alan Paton
20545509,Josephine Tey
20631502,Marie-Luise Kreuter
20868308,C. S. Lewis
20868804,C S Lewis
20868901,C.S. Lewis
20869002,C.S. Lewis
20960808,Ashley Montagu
23193913,Denise Lardner Carmody
23376627,Caroline Schrodes
002346450X,Richard H. Green
23672609,Laurence J. Lafleur
24031216,Carl R. Rogers
24080918,Duane P. Schultz
24103411,Grace Shugart
24182001,Jr. William Strunk
25003305,Mortimer J. Adler
25182005,Lolah Burford
25196359,Barbara Bush
25294458,Stevie Daniels
002542730X,James Finn Garner
25473905,Uta Hagen
26098407,Ntozake Shange
26125803,Spain
26329859,Eileen Yin-Fei Lo
26885522,Robert Loren Fleming
26890380,Checkerboard Press
002708230X,Betty Baker
27357813,Jane Gardam
27582000,C. S. Lewis
27701301,Gary Paulsen
28600819,Judith Zimmer
28604032,Frommer
28604199,James Finn Garner
28604202,James Finn Garner
28604695,Lisa Legarde
28606353,Alice Garrard
28606736,Rainer Eisenschmid
28610105,Mark Bittman
28610865,Jeff Davidson Jeffrey P.; Davidson
28612671,Abbot George Burke
28613228,New York Public Library
28613430,Larry Waschka
28617274,Jane Pettigrew
28617363,Patrick Chabris Christopher;Wolff
28620666,Betty Crocker Editors
28621239,Gail Diven
28625757,Steve Ettlinger
002862615X,Arthur Frommer
28626958,Ann Douglas
28630092,Betty Crocker Editors
28630238,Betty Crocker Editors
28634691,Betty Crocker Editors
28639227,Eric F Goldman
28642333,Yahiya Emerick
28702506,Theodore Baker
29023106,Ernest Becker
29087104,Clement Eaton
002920528X,Peter Mcdonough
29281113,Michael Schulman
002963900X,Editions Berlitz S.A
30020786,Douglas A. Skoog
30037166,Philip Roth
30056284,Katherine Wei
30074312,Lloyd Alexander
30096189,Stephen J. Weininger
30119502,Horace Walpole
30149061,G. B. (1948- ) Trudeau
30181011,Charles M. Schulz
30195160,John C Brereton
30211212,A. J McClane
30226864,E. Adamson Hoebel
30291798,Michael D. Hutt
30419964,Patricia L Garfield
30423910,Paulita Sedgwick
30442818,Dee Brown
30448565,G. B. Trudeau
30463262,Robert Frost
30476267,Owen Brookes
30554381,Chinua Achebe
30577861,Richard Setlowe
30589533,William B. Sanders
30597862,Alice Koller
30598583,E. V. Cunningham
30615321,G. B. Trudeau
30622093,John Knowles
30628822,Leo Buscaglia
30632366,Gloria Steinem
30640075,Craig Claiborne
30844924,Lyndon Baines Johnson
30914566,Anthony B Herbert
43510744,David Suzuki
44402449,Barbara Hambly
44409001,Liz Evans
44409575,Alice Myers
48231398,J. R. R. Tolkien
60000791,Sophy Burnham
60000805,Sophy Burnham
006000133X,Jennifer L. Holm
60001445,Victoria Alexander
60001453,Victoria Alexander
60002050,Stephanie Laurens
60002093,Milan Kundera
60002433,Terrence Cheng
60002492,James Rollins
006000438X,Manil Suri
60004533,Neal Pollack
006000469X,Carolyn Hart
60004703,Carolyn Hart
60005009,Denys Cazet
60005424,Garth Nix
60005556,James Grippando
60006048,Isobel Bird
60006765,Frederick Taylor
006000777X,Edward DeAngelo
006000780X,John Searles
60008024,Marian Keyes
60008369,James W. Huston
60008776,Elmore Leonard
60008865,Gregg Hurwitz
60008873,Gregg Hurwitz
60009225,Owen Parry
60009241,Rachel Gibson
60009462,Janice Dickinson
60009640,Joe Buff
60011912,Lawrence Block
006001203X,Robert C. Atkins
60012331,Terry Pratchett
60013117,Terry Pratchett
60080841,Ira Levin
006008118X,Adam Braver
60081651,Marsha Moyer
60081961,Bob Greene
60082194,Elmore Leonard
60083263,Phillip Margolin
60083298,Alisa Kwitney
60083948,Elmore Leonard
60083956,Elmore Leonard
60084022,Elmore Leonard
60084405,Judith R. Hendricks
60084456,Roger Housden
60085444,Meg Cabot
60085894,Hayden Herrera
60086246,Marian Keyes
60086386,Dorothy Samuels
006008829X,Melody Beattie
60089296,Lynn Emery
60090367,Marian Keyes
60090375,Marian Keyes
60090383,Marian Keyes
60092165,Joanne Pence
60092645,Christina Dodd
60092963,Cathy Maxwell
60093412,Mary-Kate Olsen
60093595,Yxta Maya Murray
60094397,Dale Brown
60094745,Will Weaver
60094850,Rebecca Godfrey
006009527X,Joseph Wambaugh
60096195,Meggin Cabot
60096209,Saralee Rosenberg
60096772,Nancy Richler
60097469,Louise Rennison
60097825,John Follain
60098538,Judith Ivory
60099062,Walter Anderson
60112719,Iain Finlay
60116188,Ruth Gordon
60119071,Tony Hillerman
60139145,Aleksandr Isaevich Solzhenitsyn
60149426,And Lamb
60152583,Milan Kundera
60153016,Diane Redfield Massie
006015456X,Ursula K. Le Guin
60154969,Bernie S. Siegel
006015781X,David Feldman
60157992,Anne Rivers Siddons
60158638,Barbara Kingsolver
60159081,Peter Carey
006016185X,John Train
006016249X,Anne Rivers Siddons
60163097,Sylvia Schur
60163283,Douglas H. Ubelaker
60163402,Jack Hitt
60163704,Tony Hillerman
60163747,Marianne Williamson
60164662,Armistead Maupin
60165979,Thomas Moore
60167033,Russell Banks
60167084,Eric Marcus
60167688,Susan Isaacs
60168013,Barbara Kingsolver
006016848X,John Gray
60168528,Raisa Gorbachev
60168536,Doris May Lessing
60168609,Russell Banks
60169281,Thomas Moore
60169613,Rosa Ross
60170441,Robert Haas
60170808,Louise Erdrich
60170832,Cal Thomas
60171324,Louise Erdrich
60171405,Nancy Friday
006017143X,Armistead Maupin
60171510,Sigrid Nunez
60171626,John Gray
60171928,Marlo Morgan
60172754,Russell Banks
60172789,Connie Briscoe
60173084,Laura C. Schlessinger
60173092,Douglas Rushkoff
60173211,Judy Sheindlin
60173289,Rebecca Wells
60174056,Abraham Verghese
60174110,Swain Wolfe
60174900,Sylvia Plath
60175184,Jeffrey Archer
60175400,Barbara Kingsolver
60175532,Olivia Goldsmith
60175680,Olivia Goldsmith
60175796,Barbara Kingsolver
60175966,Simon Winchester
60176156,Anne Rivers Siddons
60176539,Whitley Strieber
60176563,Donald Spoto
60176628,Camilla T. Crespi
60176873,Doris May Lessing
60177012,William Jeremiah Coughlin
60177225,Barbara Taylor Bradford
60177241,Clive Barker
60177586,Dan Quayle
60177888,Erma Bombeck
60178248,Whitney Otto
60179228,Rennie Airth
60179341,Anne Rivers Siddons
006017935X,Anne Rivers Siddons
60179716,Gordon Thomas
60179988,Gerald Seymour
60182687,Barbara Taylor Bradford
60182792,John O'Donohue
60182970,Clive Barker
60183039,Anna Murdoch
60183136,Brian Wilson
60183527,Lawrence Otis Graham
60185147,Lisa Scottoline
60185252,Joyce Carol Oates
60185287,Patricia Gaffney
60185430,Brian Dolan
60185708,Kathleen E. Woodiwiss
60185716,Tim Dorsey
60186860,Philip Gonzalez
60186941,Jay Leno
006018700X,Timothy Leary
60187271,Louise Erdrich
60188731,Ann Patchett
006018888X,Stephanie Laurens
60191015,Gwen Macsai
60191058,L. F. Hoffman
60191341,Michael F. Roizen  M.D.
60191538,Lawrence Schiller
60191872,Stuart Woods
60191929,Patricia Gaffney
006019197X,Timothy Findley
60191988,Jewel
60192119,John Colapinto
60192240,Jeffrey Archer
60192305,Wayne W. Dyer
60192631,Jane McCafferty
60192704,Judy Sheindlin
60192895,Tony Hillerman
006019295X,Richard Bausch
